day,month,year
8,12,2019
9,12,2019
13,1,2020
14,1,2020
8,2,2020
9,2,2020
15,2,2020
16,2,2020
28,2,2020
29,2,2020
1,3,2020
19,8,2020
20,8,2020
25,8,2020
2,10,2020
3,10,2020
4,10,2020
21,10,2020
31,10,2020
26,12,2020
27,12,2020
19,1,2021
20,1,2021
21,1,2021
22,1,2021
6,2,2021
7,2,2021
8,2,2021
30,7,2021
26,11,2021
27,11,2021
7,12,2021
8,12,2021
29,1,2022
30,1,2022
31,1,2022
16,2,2022
17,2,2022
18,2,2022
20,2,2022
21,2,2022
17,2,2023
12,4,2023
5,8,2023
18,8,2023
19,8,2023
27,9,2023
28,9,2023
18,10,2023
19,10,2023
20,10,2023
21,10,2023
1,11,2023
2,11,2023
13,11,2023
9,12,2023
10,12,2023
27,12,2023
28,12,2023
2,1,2024
21,1,2024
22,1,2024
23,1,2024
24,1,2024
6,4,2024
7,4,2024
22,8,2024
23,8,2024
